trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,9.5333604,10.5736966,10.5771491,down,0,0.8583796,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
1,0,1,0,11.4567801,12.4573244,12.4573244,down,1,0.6785936,None,-2,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
2,0,2,0,13.1573113,14.1576629,14.1576629,up,1,0.5005012,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
3,0,3,0,14.6745172,15.6747917,15.6747917,up,1,0.5424547,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
4,0,4,0,16.2415409,17.2417487,17.2417487,down,1,0.4123791,None,-5,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
5,0,5,0,17.6751373,18.6756561,18.6756561,down,1,0.4564637,None,-5,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
6,0,6,0,19.1590125,20.1593482,20.1593482,up,1,0.6506971,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
7,0,7,0,20.8261272,21.8265795,21.8265795,up,1,0.7979404,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
8,0,8,0,22.6432494,23.6434906,23.6434906,up,1,0.7415513,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
9,0,9,0,24.410571,25.4107497,25.4107497,down,0,1.5511195,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
10,0,10,0,26.9778098,27.9781211,27.9781211,up,1,0.5988342,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
11,0,11,0,28.5946686,29.5951472,29.5951472,up,1,0.6293969,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
12,0,12,0,30.2453055,31.2456359,31.2456359,up,1,0.5827343,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
13,0,13,0,31.8457352,32.8461091,32.8461091,up,1,0.5455639,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
14,0,14,0,33.4129164,34.4130769,34.4130769,down,1,0.596428,None,-5,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
15,0,15,0,35.0299546,36.0303523,36.0303523,down,1,1.3974387,None,-2,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
16,0,16,0,37.4471248,38.4476753,38.4476753,down,1,0.5832751,None,-4,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
17,0,17,0,39.0475759,40.0481156,40.0481156,down,1,0.5099982,None,-3,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
18,0,18,0,40.5815725,41.5819624,41.5819624,up,1,0.3934176,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
19,0,19,0,41.998466,42.9986783,42.9986783,up,0,0.6756397,None,-2,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
20,0,20,0,43.6989521,44.6991636,44.6991636,down,1,0.5637701,None,-5,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
21,0,21,0,45.2828016,46.2831528,46.2831528,up,1,0.6830413,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
22,0,22,0,46.9831816,47.9835885,47.9835885,down,1,0.6766054,None,-3,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
23,0,23,0,48.6835985,49.6839773,49.6839773,up,1,0.5494357,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
24,0,24,0,50.2507111,51.2511344,51.2511344,down,1,0.7566482,None,-3,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
25,0,25,0,52.0345191,53.0350469,53.0350469,up,1,0.5171372,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
26,0,26,0,53.5850196,54.5854592,54.5854592,up,0,0.3016516,None,-4,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
27,0,27,0,54.9186124,55.9190083,55.9190083,up,1,0.5513177,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
28,0,28,0,56.5022051,57.5027452,57.5027452,down,1,0.6218269,None,-5,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
29,0,29,0,58.1529439,59.153189,59.153189,down,1,0.74491,None,-3,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
30,0,30,0,59.9201359,60.9204228,60.9204228,down,1,0.6925478,None,-4,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
31,0,31,0,61.637121,62.637495,62.637495,down,1,0.6289923,None,-4,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
32,0,32,0,63.2876405,64.287934,64.287934,up,1,0.6016364,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
33,0,33,0,64.9214093,65.9218211,65.9218211,up,1,0.5662582,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
34,0,34,0,66.5049945,67.505264,67.505264,up,1,0.5658772,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
35,0,35,0,68.0890574,69.0893502,69.0893502,up,1,0.5653965,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
36,0,36,0,69.6728089,70.6732065,70.6732065,up,1,0.545144,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
37,0,37,0,71.2397729,72.2401545,72.2401545,down,1,0.5715411,None,-4,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
38,0,38,0,72.8402023,73.8405292,73.8405292,down,0,0.4083313,None,0,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
39,0,39,0,74.2739475,75.2742685,75.2742685,down,1,0.5230445,None,-2,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
40,0,40,0,75.8243808,76.8246639,76.8246639,down,1,0.6354013,None,-3,358233,1,2023-09-08_13h08.26.769,orientationdisctimination,2023.1.3,59.98440405
